event_id,event_date,city,event_type,severity,duration_minutes,affected_users,status
NE000047,2026-08-25,Nashik,OUTAGE,MEDIUM,191,766,RESOLVED
NE000048,2026-05-25,Nashik,OUTAGE,HIGH,52,3383,IN_PROGRESS
NE000049,2025-10-12,Bhopal,HIGH_LATENCY,MEDIUM,167,212,RESOLVED
NE000050,2026-07-23,Bhopal,HIGH_LATENCY,LOW,210,2517,IN_PROGRESS
NE000051,2026-03-15,Nashik,LOW_SIGNAL,MEDIUM,198,787,CLOSED
NE000052,2026-01-18,Nagpur,LOW_SIGNAL,LOW,279,1979,CLOSED
NE000053,2026-07-25,Thane,PACKET_LOSS,LOW,116,4965,CLOSED
NE000054,2026-02-22,Nashik,HIGH_LATENCY,LOW,237,4931,CLOSED
NE000055,2026-08-19,Mumbai,PACKET_LOSS,HIGH,297,1968,RESOLVED
NE000056,2026-02-15,Indore,OUTAGE,CRITICAL,98,173,OPEN
NE000057,2026-07-15,Nagpur,PACKET_LOSS,MEDIUM,42,4088,RESOLVED
NE000058,2025-12-24,Bhopal,HIGH_LATENCY,CRITICAL,83,87,IN_PROGRESS
NE000059,2026-08-23,Thane,PACKET_LOSS,LOW,72,100,OPEN
NE000060,2025-12-02,Nashik,LOW_SIGNAL,MEDIUM,37,709,OPEN
NE000061,2026-03-28,Nagpur,LOW_SIGNAL,LOW,54,1404,OPEN
NE000062,2026-09-04,Thane,OUTAGE,LOW,279,4104,OPEN
NE000063,2026-01-30,Nashik,OUTAGE,MEDIUM,256,3045,RESOLVED
NE000064,2025-09-30,Mumbai,LOW_SIGNAL,MEDIUM,300,3931,CLOSED
NE000065,2026-07-06,Mumbai,CONGESTION,MEDIUM,268,1626,CLOSED
NE000066,2026-04-23,Indore,LOW_SIGNAL,CRITICAL,99,2740,OPEN
NE000067,2025-09-25,Indore,LOW_SIGNAL,LOW,287,993,IN_PROGRESS
NE000068,2026-03-29,Bhopal,CONGESTION,CRITICAL,213,4676,OPEN
NE000069,2025-12-07,Nashik,LOW_SIGNAL,LOW,22,3328,CLOSED
NE000070,2026-07-06,Mumbai,CONGESTION,MEDIUM,57,2192,OPEN
NE000071,2026-02-22,Nagpur,PACKET_LOSS,HIGH,263,4986,OPEN
NE000072,2026-04-15,Indore,CONGESTION,MEDIUM,96,4976,RESOLVED
NE000073,2026-03-24,Bhopal,HIGH_LATENCY,LOW,260,2360,RESOLVED
NE000074,2026-04-12,Bhopal,PACKET_LOSS,MEDIUM,144,4195,IN_PROGRESS
NE000075,2025-10-01,Indore,HIGH_LATENCY,HIGH,256,2468,OPEN
NE000076,2026-02-17,Bhopal,OUTAGE,MEDIUM,158,4931,RESOLVED
NE000077,2026-05-06,Pune,CONGESTION,MEDIUM,268,1357,RESOLVED
NE000078,2026-02-25,Thane,CONGESTION,HIGH,141,2880,OPEN
NE000079,2026-03-22,Nashik,OUTAGE,CRITICAL,141,4489,IN_PROGRESS
NE000080,2026-06-24,Pune,LOW_SIGNAL,HIGH,122,1650,IN_PROGRESS
NE000081,2025-12-12,Bhopal,OUTAGE,LOW,119,2161,IN_PROGRESS
NE000082,2025-11-25,Nashik,OUTAGE,LOW,170,1678,CLOSED
NE000083,2026-04-17,Pune,OUTAGE,MEDIUM,119,3170,RESOLVED
NE000084,2026-08-11,Thane,LOW_SIGNAL,HIGH,44,3318,RESOLVED
NE000085,2025-11-23,Nashik,OUTAGE,LOW,276,411,IN_PROGRESS
NE000086,2026-03-10,Nashik,OUTAGE,MEDIUM,44,2953,CLOSED
NE000087,2026-06-04,Pune,HIGH_LATENCY,MEDIUM,167,16,RESOLVED
NE000088,2026-01-09,Pune,OUTAGE,LOW,98,3620,IN_PROGRESS
NE000089,2026-02-26,Thane,CONGESTION,MEDIUM,89,2824,RESOLVED
NE000090,2026-07-25,Bhopal,LOW_SIGNAL,LOW,295,3611,RESOLVED
NE000091,2026-06-27,Thane,LOW_SIGNAL,HIGH,41,618,IN_PROGRESS
NE000092,2025-10-14,Nagpur,PACKET_LOSS,MEDIUM,120,1695,CLOSED
NE000093,2026-04-09,Thane,CONGESTION,HIGH,40,814,CLOSED
NE000094,2026-03-21,Thane,HIGH_LATENCY,MEDIUM,71,307,CLOSED
NE000095,2026-09-09,Indore,OUTAGE,HIGH,299,3767,IN_PROGRESS
NE000096,2026-03-31,Thane,HIGH_LATENCY,LOW,164,4767,CLOSED
NE000097,2026-02-21,Bhopal,PACKET_LOSS,HIGH,86,491,CLOSED
NE000098,2026-05-09,Bhopal,PACKET_LOSS,MEDIUM,217,2290,CLOSED
NE000099,2026-01-17,Nagpur,PACKET_LOSS,MEDIUM,223,821,RESOLVED
NE000100,2026-01-21,Indore,PACKET_LOSS,HIGH,126,1018,OPEN
NE000101,2026-07-12,Indore,PACKET_LOSS,CRITICAL,47,2337,RESOLVED
NE000102,2025-12-29,Thane,OUTAGE,HIGH,216,1402,RESOLVED
NE000103,2025-10-02,Thane,LOW_SIGNAL,LOW,167,4334,RESOLVED
NE000104,2026-06-25,Thane,OUTAGE,MEDIUM,78,2208,OPEN
NE000105,2026-01-16,Indore,OUTAGE,CRITICAL,164,135,CLOSED
NE000106,2026-03-08,Bhopal,LOW_SIGNAL,MEDIUM,218,4237,OPEN
NE000107,2025-09-28,Indore,LOW_SIGNAL,MEDIUM,86,2488,IN_PROGRESS
NE000108,2026-08-24,Thane,CONGESTION,LOW,135,111,CLOSED
NE000109,2026-02-11,Indore,OUTAGE,MEDIUM,134,701,OPEN
NE000110,2025-12-14,Nagpur,LOW_SIGNAL,HIGH,202,2929,CLOSED
NE000111,2026-07-24,Nagpur,OUTAGE,LOW,141,2856,CLOSED
NE000112,2026-05-15,Bhopal,OUTAGE,CRITICAL,151,3104,RESOLVED
NE000113,2026-08-30,Nagpur,HIGH_LATENCY,HIGH,207,4781,CLOSED
NE000114,2026-01-30,Bhopal,LOW_SIGNAL,CRITICAL,34,127,IN_PROGRESS
NE000115,2026-09-14,Nashik,CONGESTION,HIGH,216,4308,CLOSED
NE000116,2026-02-27,Thane,OUTAGE,CRITICAL,209,1546,RESOLVED
NE000117,2026-04-16,Nashik,HIGH_LATENCY,HIGH,78,4772,IN_PROGRESS
NE000118,2026-09-17,Mumbai,CONGESTION,HIGH,296,3954,IN_PROGRESS
NE000119,2025-12-05,Bhopal,HIGH_LATENCY,MEDIUM,140,2359,CLOSED
NE000120,2026-07-16,Pune,CONGESTION,LOW,173,2501,CLOSED
NE000121,2026-01-28,Nagpur,HIGH_LATENCY,HIGH,73,1058,OPEN
NE000122,2026-03-06,Thane,LOW_SIGNAL,LOW,8,3602,CLOSED
NE000123,2026-08-29,Indore,CONGESTION,CRITICAL,119,4269,IN_PROGRESS
NE000124,2026-07-30,Nashik,PACKET_LOSS,MEDIUM,41,2778,IN_PROGRESS
NE000125,2026-09-08,Nashik,CONGESTION,CRITICAL,105,183,RESOLVED
NE000126,2026-02-25,Nagpur,PACKET_LOSS,HIGH,294,3069,CLOSED
NE000127,2026-09-19,Nashik,HIGH_LATENCY,HIGH,292,1876,IN_PROGRESS
NE000128,2026-05-23,Thane,HIGH_LATENCY,MEDIUM,154,82,IN_PROGRESS
NE000129,2026-05-06,Indore,OUTAGE,CRITICAL,87,1574,OPEN
NE000130,2026-07-15,Mumbai,OUTAGE,LOW,220,268,RESOLVED
NE000131,2026-09-04,Pune,CONGESTION,CRITICAL,268,1850,IN_PROGRESS
NE000132,2026-03-02,Thane,OUTAGE,HIGH,13,3083,RESOLVED
NE000133,2026-07-23,Bhopal,PACKET_LOSS,MEDIUM,110,2692,CLOSED
NE000134,2026-08-03,Nashik,PACKET_LOSS,HIGH,163,1942,CLOSED
NE000135,2026-05-25,Pune,CONGESTION,MEDIUM,258,998,RESOLVED
NE000136,2026-07-22,Nagpur,HIGH_LATENCY,MEDIUM,199,1702,RESOLVED
NE000137,2025-12-12,Indore,CONGESTION,HIGH,13,198,OPEN
NE000138,2026-05-06,Pune,HIGH_LATENCY,LOW,180,2364,CLOSED
NE000139,2026-03-27,Mumbai,HIGH_LATENCY,LOW,263,441,OPEN
NE000140,2026-07-28,Pune,OUTAGE,MEDIUM,26,419,CLOSED
NE000141,2026-05-07,Pune,HIGH_LATENCY,MEDIUM,262,2396,RESOLVED
NE000142,2025-10-09,Thane,PACKET_LOSS,LOW,256,378,CLOSED
NE000143,2026-08-06,Mumbai,OUTAGE,MEDIUM,41,294,RESOLVED
NE000144,2026-02-02,Indore,PACKET_LOSS,HIGH,44,3813,IN_PROGRESS
NE000145,2026-01-31,Indore,HIGH_LATENCY,HIGH,186,3074,IN_PROGRESS
NE000146,2026-06-19,Thane,PACKET_LOSS,LOW,76,1686,OPEN
NE000147,2026-07-06,Thane,HIGH_LATENCY,CRITICAL,23,1479,RESOLVED
NE000148,2026-09-05,Pune,HIGH_LATENCY,HIGH,201,3441,RESOLVED
NE000149,2026-09-16,Pune,OUTAGE,HIGH,66,273,OPEN
NE000150,2025-10-25,Nashik,LOW_SIGNAL,MEDIUM,187,177,CLOSED
NE000151,2026-08-29,Nashik,LOW_SIGNAL,HIGH,268,3431,IN_PROGRESS
NE000152,2026-05-17,Nagpur,CONGESTION,LOW,43,1046,IN_PROGRESS
NE000153,2026-07-14,Nagpur,LOW_SIGNAL,HIGH,197,1517,CLOSED
NE000154,2025-11-02,Thane,PACKET_LOSS,HIGH,44,1562,IN_PROGRESS
NE000155,2026-08-24,Thane,OUTAGE,HIGH,266,152,OPEN
NE000156,2026-09-19,Mumbai,PACKET_LOSS,LOW,232,253,CLOSED
NE000157,2025-10-28,Bhopal,PACKET_LOSS,LOW,91,1824,OPEN
NE000158,2026-09-04,Nagpur,OUTAGE,LOW,121,1170,OPEN
NE000159,2026-01-18,Bhopal,LOW_SIGNAL,CRITICAL,137,2359,OPEN
NE000160,2025-10-25,Bhopal,CONGESTION,MEDIUM,104,2390,OPEN
NE000161,2025-09-23,Bhopal,HIGH_LATENCY,CRITICAL,267,3972,IN_PROGRESS
NE000162,2025-09-25,Nagpur,CONGESTION,MEDIUM,48,3184,IN_PROGRESS
NE000163,2026-06-14,Indore,CONGESTION,MEDIUM,20,412,IN_PROGRESS
NE000164,2026-02-07,Indore,OUTAGE,MEDIUM,284,753,CLOSED
NE000165,2025-10-08,Mumbai,OUTAGE,CRITICAL,127,3222,IN_PROGRESS
NE000166,2025-09-26,Nagpur,LOW_SIGNAL,CRITICAL,136,1865,CLOSED
NE000167,2026-03-09,Bhopal,CONGESTION,CRITICAL,209,3243,IN_PROGRESS
NE000168,2025-11-07,Thane,OUTAGE,MEDIUM,142,4919,OPEN
NE000169,2026-03-04,Nashik,OUTAGE,MEDIUM,96,3821,CLOSED
NE000170,2026-08-03,Pune,HIGH_LATENCY,CRITICAL,21,1355,RESOLVED
NE000171,2026-03-23,Nashik,HIGH_LATENCY,HIGH,127,2929,IN_PROGRESS
NE000172,2025-10-31,Pune,LOW_SIGNAL,MEDIUM,106,4848,OPEN
NE000173,2026-08-10,Indore,PACKET_LOSS,MEDIUM,191,2740,RESOLVED
NE000174,2026-03-28,Mumbai,LOW_SIGNAL,LOW,256,2015,OPEN
NE000175,2026-06-27,Nagpur,PACKET_LOSS,MEDIUM,255,4784,CLOSED
NE000176,2025-12-29,Thane,OUTAGE,CRITICAL,91,2107,RESOLVED
NE000177,2026-04-28,Nashik,OUTAGE,CRITICAL,16,1805,RESOLVED
NE000178,2026-07-27,Indore,CONGESTION,MEDIUM,205,2620,IN_PROGRESS
NE000179,2025-09-25,Pune,LOW_SIGNAL,MEDIUM,95,2739,IN_PROGRESS
NE000180,2026-02-23,Nashik,CONGESTION,HIGH,235,533,RESOLVED
NE000181,2026-03-10,Nashik,PACKET_LOSS,HIGH,262,3975,CLOSED
NE000182,2025-10-04,Pune,CONGESTION,MEDIUM,246,3488,OPEN
NE000183,2026-08-17,Pune,LOW_SIGNAL,MEDIUM,146,3616,RESOLVED
NE000184,2026-03-19,Indore,HIGH_LATENCY,LOW,118,88,OPEN
NE000185,2025-10-26,Pune,PACKET_LOSS,MEDIUM,101,3337,OPEN
NE000186,2026-01-20,Mumbai,OUTAGE,CRITICAL,140,4936,OPEN
NE000187,2026-07-10,Mumbai,HIGH_LATENCY,CRITICAL,18,2310,OPEN
NE000188,2026-07-10,Mumbai,LOW_SIGNAL,LOW,208,4999,OPEN
NE000189,2026-02-18,Nashik,LOW_SIGNAL,MEDIUM,5,1519,OPEN
NE000190,2025-10-05,Bhopal,OUTAGE,HIGH,271,3826,CLOSED
NE000191,2026-04-18,Nagpur,CONGESTION,MEDIUM,293,1442,IN_PROGRESS
NE000192,2026-08-22,Pune,HIGH_LATENCY,CRITICAL,263,3634,CLOSED
NE000193,2026-07-05,Mumbai,LOW_SIGNAL,LOW,228,1707,CLOSED
NE000194,2026-09-20,Nashik,OUTAGE,CRITICAL,23,2924,IN_PROGRESS
NE000195,2026-07-03,Thane,CONGESTION,MEDIUM,295,4813,RESOLVED
NE000196,2026-01-14,Bhopal,LOW_SIGNAL,MEDIUM,201,3156,OPEN
NE000197,2026-02-10,Nashik,LOW_SIGNAL,MEDIUM,259,1268,OPEN
NE000198,2026-04-09,Pune,CONGESTION,CRITICAL,39,4342,IN_PROGRESS
NE000199,2026-06-03,Thane,HIGH_LATENCY,MEDIUM,202,2297,CLOSED
NE000200,2026-08-16,Nagpur,LOW_SIGNAL,MEDIUM,240,3789,OPEN
NE000201,2026-05-23,Pune,LOW_SIGNAL,LOW,253,2504,CLOSED
NE000202,2025-10-21,Pune,PACKET_LOSS,MEDIUM,161,3990,CLOSED
NE000203,2026-09-20,Nashik,PACKET_LOSS,LOW,268,2841,CLOSED
NE000204,2025-11-19,Thane,PACKET_LOSS,LOW,260,2134,OPEN
NE000205,2026-03-06,Nagpur,LOW_SIGNAL,CRITICAL,172,2102,OPEN
NE000206,2026-08-16,Pune,CONGESTION,MEDIUM,17,2857,RESOLVED
NE000207,2026-06-23,Nashik,OUTAGE,LOW,122,1613,RESOLVED
NE000208,2025-12-23,Thane,LOW_SIGNAL,HIGH,282,4986,OPEN
NE000209,2026-08-14,Indore,OUTAGE,CRITICAL,98,3472,CLOSED
NE000210,2026-09-22,Nashik,PACKET_LOSS,MEDIUM,96,1222,CLOSED
NE000211,2026-02-19,Pune,CONGESTION,LOW,279,4134,OPEN
NE000212,2026-03-01,Pune,HIGH_LATENCY,MEDIUM,36,1781,OPEN
NE000213,2026-08-28,Bhopal,HIGH_LATENCY,MEDIUM,194,474,IN_PROGRESS
NE000214,2025-11-19,Nashik,OUTAGE,MEDIUM,269,1695,RESOLVED
NE000215,2026-07-28,Nashik,PACKET_LOSS,LOW,287,1216,RESOLVED
NE000216,2025-12-08,Nashik,CONGESTION,CRITICAL,190,4002,OPEN
NE000217,2026-01-15,Thane,PACKET_LOSS,LOW,288,2256,IN_PROGRESS
NE000218,2026-01-05,Nagpur,LOW_SIGNAL,HIGH,98,4904,CLOSED
NE000219,2025-11-25,Nagpur,HIGH_LATENCY,HIGH,292,2329,RESOLVED
NE000220,2026-02-27,Mumbai,LOW_SIGNAL,MEDIUM,213,3474,CLOSED
NE000221,2025-12-09,Mumbai,HIGH_LATENCY,LOW,154,4268,IN_PROGRESS
NE000222,2026-09-07,Bhopal,LOW_SIGNAL,MEDIUM,152,2387,OPEN
NE000223,2026-02-13,Bhopal,LOW_SIGNAL,LOW,262,3300,OPEN
NE000224,2025-10-24,Bhopal,PACKET_LOSS,MEDIUM,171,2439,IN_PROGRESS
NE000225,2025-12-13,Mumbai,OUTAGE,MEDIUM,67,475,RESOLVED
NE000226,2026-06-20,Bhopal,OUTAGE,MEDIUM,234,2454,RESOLVED
NE000227,2026-07-05,Indore,PACKET_LOSS,CRITICAL,264,2270,RESOLVED
NE000228,2025-10-03,Nashik,LOW_SIGNAL,LOW,165,1885,IN_PROGRESS
NE000229,2026-08-31,Bhopal,OUTAGE,MEDIUM,38,3958,IN_PROGRESS
NE000230,2026-07-07,Nashik,LOW_SIGNAL,HIGH,255,3322,CLOSED
NE000231,2026-07-24,Nagpur,LOW_SIGNAL,HIGH,164,2423,IN_PROGRESS
NE000232,2025-11-25,Indore,LOW_SIGNAL,LOW,114,4145,OPEN
NE000233,2026-04-18,Indore,CONGESTION,MEDIUM,35,3873,OPEN
NE000234,2026-07-15,Thane,LOW_SIGNAL,MEDIUM,243,2511,CLOSED
NE000235,2026-01-18,Thane,CONGESTION,MEDIUM,233,1166,IN_PROGRESS
NE000236,2026-05-21,Pune,CONGESTION,MEDIUM,283,4542,CLOSED
NE000237,2025-10-06,Mumbai,PACKET_LOSS,MEDIUM,172,3661,OPEN
NE000238,2026-01-01,Nagpur,OUTAGE,LOW,125,3474,OPEN
NE000239,2026-01-25,Mumbai,CONGESTION,MEDIUM,81,4518,CLOSED
NE000240,2026-07-14,Indore,PACKET_LOSS,MEDIUM,170,292,CLOSED
NE000241,2026-07-13,Indore,CONGESTION,MEDIUM,123,4236,RESOLVED
NE000242,2026-02-03,Thane,HIGH_LATENCY,MEDIUM,299,773,RESOLVED
NE000243,2026-05-14,Thane,PACKET_LOSS,CRITICAL,199,4949,RESOLVED
NE000244,2026-02-27,Indore,CONGESTION,MEDIUM,232,4002,CLOSED
NE000245,2026-02-09,Indore,HIGH_LATENCY,LOW,32,2571,RESOLVED
NE000246,2026-04-19,Mumbai,CONGESTION,HIGH,261,668,CLOSED
NE000247,2026-08-07,Indore,HIGH_LATENCY,MEDIUM,121,4847,OPEN
NE000248,2026-05-10,Nagpur,CONGESTION,LOW,162,2803,CLOSED
NE000249,2025-10-10,Nagpur,PACKET_LOSS,LOW,248,1639,CLOSED
NE000250,2025-10-22,Bhopal,HIGH_LATENCY,HIGH,151,137,RESOLVED
NE000251,2026-04-18,Nagpur,LOW_SIGNAL,LOW,245,3108,RESOLVED
NE000252,2025-10-26,Indore,HIGH_LATENCY,CRITICAL,36,3739,IN_PROGRESS
NE000253,2026-04-22,Pune,OUTAGE,CRITICAL,59,2432,CLOSED
NE000254,2026-07-29,Pune,CONGESTION,MEDIUM,119,4934,OPEN
NE000255,2025-11-03,Bhopal,CONGESTION,MEDIUM,42,525,OPEN
NE000256,2026-04-14,Pune,CONGESTION,LOW,32,1436,CLOSED
NE000257,2025-12-05,Mumbai,PACKET_LOSS,LOW,297,4297,CLOSED
NE000258,2026-06-28,Nagpur,CONGESTION,CRITICAL,7,552,OPEN
NE000259,2026-05-20,Nagpur,LOW_SIGNAL,HIGH,234,3053,IN_PROGRESS
NE000260,2026-02-07,Indore,PACKET_LOSS,LOW,54,404,RESOLVED
NE000261,2026-08-19,Bhopal,HIGH_LATENCY,CRITICAL,280,877,CLOSED
NE000262,2026-01-27,Nashik,PACKET_LOSS,CRITICAL,86,4883,IN_PROGRESS
NE000263,2025-12-19,Nagpur,OUTAGE,LOW,136,2003,OPEN
NE000264,2026-05-07,Mumbai,HIGH_LATENCY,LOW,216,442,IN_PROGRESS
NE000265,2025-11-18,Nagpur,OUTAGE,HIGH,283,3194,RESOLVED
NE000266,2026-04-11,Nashik,HIGH_LATENCY,LOW,215,1834,IN_PROGRESS
NE000267,2026-03-15,Mumbai,OUTAGE,CRITICAL,5,3962,CLOSED
NE000268,2026-03-02,Indore,LOW_SIGNAL,CRITICAL,95,1980,OPEN
NE000269,2025-12-10,Bhopal,OUTAGE,HIGH,281,604,CLOSED
NE000270,2026-06-17,Nagpur,LOW_SIGNAL,HIGH,151,1033,OPEN
NE000271,2026-06-02,Mumbai,CONGESTION,MEDIUM,189,2664,IN_PROGRESS
NE000272,2026-05-23,Thane,LOW_SIGNAL,HIGH,202,505,CLOSED
NE000273,2025-10-24,Pune,CONGESTION,HIGH,49,1020,RESOLVED
NE000274,2025-11-18,Nashik,CONGESTION,CRITICAL,174,2207,CLOSED
NE000275,2025-10-29,Thane,PACKET_LOSS,MEDIUM,270,1397,CLOSED
NE000276,2026-09-09,Nagpur,OUTAGE,HIGH,253,3036,CLOSED
NE000277,2026-06-15,Thane,CONGESTION,HIGH,272,3828,IN_PROGRESS
NE000278,2025-12-29,Nashik,HIGH_LATENCY,CRITICAL,270,2107,CLOSED
NE000279,2025-12-11,Indore,LOW_SIGNAL,CRITICAL,288,41,OPEN
NE000280,2025-11-17,Mumbai,OUTAGE,MEDIUM,141,3342,OPEN
NE000281,2026-05-03,Thane,CONGESTION,CRITICAL,132,4599,CLOSED
NE000282,2025-11-16,Thane,HIGH_LATENCY,MEDIUM,233,3299,IN_PROGRESS
NE000283,2026-02-21,Indore,OUTAGE,MEDIUM,34,3587,CLOSED
NE000284,2026-01-01,Nashik,PACKET_LOSS,CRITICAL,236,1787,RESOLVED
NE000285,2026-08-10,Pune,CONGESTION,MEDIUM,31,1999,OPEN
NE000286,2026-05-20,Indore,OUTAGE,LOW,200,3012,IN_PROGRESS
NE000287,2026-01-25,Pune,LOW_SIGNAL,CRITICAL,203,128,OPEN
NE000288,2026-02-01,Nagpur,OUTAGE,CRITICAL,276,1222,IN_PROGRESS
NE000289,2026-03-05,Mumbai,HIGH_LATENCY,HIGH,205,3222,RESOLVED
NE000290,2026-03-01,Mumbai,HIGH_LATENCY,MEDIUM,105,1684,IN_PROGRESS
NE000291,2026-06-25,Mumbai,CONGESTION,HIGH,258,3167,RESOLVED
NE000292,2025-11-30,Thane,PACKET_LOSS,MEDIUM,295,1283,OPEN
NE000293,2026-09-20,Nagpur,HIGH_LATENCY,MEDIUM,92,3646,CLOSED
NE000294,2026-05-23,Bhopal,HIGH_LATENCY,MEDIUM,76,4932,RESOLVED
NE000295,2026-01-28,Nagpur,HIGH_LATENCY,MEDIUM,262,3699,RESOLVED
NE000296,2026-09-22,Nagpur,PACKET_LOSS,MEDIUM,271,344,IN_PROGRESS
NE000297,2026-04-10,Nashik,HIGH_LATENCY,HIGH,185,1156,CLOSED
NE000298,2026-09-09,Nashik,OUTAGE,LOW,105,1985,OPEN
NE000299,2025-11-12,Nagpur,HIGH_LATENCY,HIGH,114,893,IN_PROGRESS
NE000300,2026-01-17,Mumbai,HIGH_LATENCY,CRITICAL,293,2429,RESOLVED
NE000301,2026-01-12,Bhopal,PACKET_LOSS,LOW,76,1181,RESOLVED
NE000302,2026-09-17,Thane,CONGESTION,MEDIUM,115,1653,OPEN
NE000303,2025-11-20,Nashik,OUTAGE,HIGH,231,444,IN_PROGRESS
NE000304,2026-08-12,Pune,CONGESTION,LOW,168,4221,RESOLVED
NE000305,2026-08-08,Indore,OUTAGE,MEDIUM,284,2473,IN_PROGRESS
NE000306,2026-02-16,Thane,PACKET_LOSS,MEDIUM,192,4851,OPEN
NE000307,2026-03-07,Nashik,HIGH_LATENCY,MEDIUM,273,3308,RESOLVED
NE000308,2025-11-30,Pune,HIGH_LATENCY,LOW,104,2238,CLOSED
NE000309,2026-01-01,Mumbai,CONGESTION,HIGH,39,1982,OPEN
NE000310,2026-01-22,Mumbai,OUTAGE,CRITICAL,149,4926,OPEN
NE000311,2025-12-31,Indore,OUTAGE,LOW,190,4707,OPEN
NE000312,2026-03-10,Pune,CONGESTION,HIGH,207,4895,CLOSED
NE000313,2026-02-26,Nashik,PACKET_LOSS,HIGH,6,3855,RESOLVED
NE000314,2026-02-21,Bhopal,PACKET_LOSS,LOW,40,3683,OPEN
NE000315,2025-11-15,Pune,OUTAGE,LOW,101,4117,OPEN
NE000316,2026-09-03,Thane,LOW_SIGNAL,MEDIUM,11,3223,OPEN
NE000317,2025-12-08,Pune,OUTAGE,LOW,26,815,OPEN
NE000318,2026-09-03,Pune,CONGESTION,HIGH,216,682,IN_PROGRESS
NE000319,2026-03-02,Bhopal,OUTAGE,HIGH,98,2781,RESOLVED
NE000320,2025-10-15,Mumbai,OUTAGE,HIGH,155,1507,IN_PROGRESS
