usage_id,customer_id,usage_date,data_used_gb,voice_minutes,sms_count
U000137,C000305,2026-05-18,1.96,93,72
U000138,C000005,2025-10-13,4.5,48,40
U000139,C000159,2025-11-10,2.28,100,0
U000140,C000012,2026-04-25,2.14,26,22
U000141,C000202,2026-01-21,2.38,267,98
U000142,C000160,2025-11-25,3.02,142,20
U000143,C000476,2025-11-22,2.02,214,96
U000144,C000664,2026-03-07,1.45,52,16
U000145,C000582,2026-09-22,1.47,34,94
U000146,C000707,2026-08-05,4.03,163,13
U000147,C000391,2026-06-30,4.98,222,87
U000148,C000823,2026-08-17,3.21,280,88
U000149,C000484,2026-07-14,4.77,23,44
U000150,C000965,2025-10-05,3.24,70,58
U000151,C000522,2025-11-13,3.12,288,1
U000152,C000821,2026-06-15,3.36,231,78
U000153,C000554,2026-03-10,4.18,254,67
U000154,C000578,2026-03-22,1.96,246,43
U000155,C000947,2026-05-08,0.18,87,90
U000156,C000696,2026-02-13,2.52,66,0
U000157,C000369,2026-06-22,2.2,218,82
U000158,C000706,2026-01-24,1.6,284,66
U000159,C000543,2026-05-06,4.68,64,98
U000160,C000953,2026-09-16,3.77,149,20
U000161,C000142,2026-05-07,0.29,88,65
U000162,C000553,2025-09-27,1.64,237,70
U000163,C000877,2026-03-14,2.14,32,12
U000164,C000345,2026-07-04,0.49,259,14
U000165,C000482,2026-09-14,4.46,92,20
U000166,C000389,2025-11-11,4.05,151,95
U000167,C000692,2025-09-30,4.36,178,91
U000168,C000197,2026-07-27,3.95,232,20
U000169,C000061,2025-12-07,1.34,235,77
U000170,C000264,2026-06-15,3.0,122,81
U000171,C000547,2026-09-13,1.7,117,68
U000172,C000242,2026-02-11,0.25,152,72
U000173,C000393,2026-09-12,4.31,38,79
U000174,C000272,2025-10-12,4.57,266,41
U000175,C000127,2026-08-05,0.41,8,64
U000176,C000298,2026-09-08,1.74,251,70
U000177,C000303,2026-04-06,1.97,0,44
U000178,C000636,2026-02-11,4.02,155,80
U000179,C000168,2026-08-30,4.32,250,40
U000180,C000180,2026-07-31,1.17,228,97
U000181,C000273,2025-10-18,3.5,41,93
U000182,C000607,2026-07-14,2.94,23,90
U000183,C000779,2026-07-05,0.81,198,88
U000184,C000080,2026-08-25,2.45,287,15
U000185,C000899,2026-07-22,0.84,232,4
U000186,C000861,2026-07-28,0.73,161,53
U000187,C000187,2026-08-10,1.13,201,42
U000188,C000982,2025-10-28,1.94,114,32
U000189,C000413,2025-12-22,3.14,13,11
U000190,C000181,2026-03-26,1.21,161,33
U000191,C000347,2025-12-22,4.25,218,13
U000192,C000002,2026-09-09,3.49,293,25
U000193,C000249,2026-07-22,4.71,144,64
U000194,C000540,2026-01-21,3.77,116,39
U000195,C000740,2026-01-09,2.95,37,46
U000196,C000023,2025-11-29,2.91,31,66
U000197,C000495,2025-11-14,3.13,161,99
U000198,C000561,2026-06-19,1.02,156,9
U000199,C000141,2026-07-19,3.54,101,22
U000200,C000870,2026-06-12,4.25,16,84
U000201,C000136,2026-08-21,2.28,214,91
U000202,C000417,2026-08-22,0.77,13,53
U000203,C000123,2025-09-29,4.47,85,93
U000204,C000087,2025-12-01,1.9,189,69
U000205,C000685,2026-04-28,0.8,295,48
U000206,C000560,2026-05-05,2.07,228,50
U000207,C000604,2026-01-27,1.72,126,8
U000208,C000738,2025-10-05,3.4,233,76
U000209,C000909,2026-08-25,2.23,292,20
U000210,C000076,2025-10-13,1.38,281,51
U000211,C000890,2026-04-15,1.44,22,27
U000212,C000628,2026-08-03,2.29,82,15
U000213,C000043,2025-10-03,4.93,123,48
U000214,C000115,2025-10-14,3.24,12,4
U000215,C000727,2025-10-09,3.54,100,33
U000216,C000502,2026-07-25,2.04,72,99
U000217,C000091,2026-02-26,4.73,18,43
U000218,C000211,2026-09-05,4.35,203,2
U000219,C000124,2026-07-27,3.15,251,33
U000220,C000364,2025-10-22,2.47,294,91
U000221,C000490,2025-11-22,1.15,4,91
U000222,C000500,2026-02-05,3.64,246,5
U000223,C000177,2026-01-14,0.75,250,26
U000224,C000965,2026-07-17,4.24,42,22
U000225,C000521,2025-11-29,3.97,209,65
U000226,C000831,2025-11-15,4.07,197,47
U000227,C000455,2026-06-18,0.15,42,54
U000228,C000380,2026-06-27,1.71,115,91
U000229,C000333,2026-06-01,2.86,282,74
U000230,C000436,2025-12-30,2.44,14,28
U000231,C000250,2026-08-10,2.0,183,3
U000232,C000431,2025-10-05,4.17,70,10
U000233,C000944,2026-02-26,0.12,62,4
U000234,C000119,2026-05-16,0.49,199,91
U000235,C000677,2026-08-28,3.53,205,65
U000236,C000862,2025-11-09,4.07,166,13
U000237,C000558,2025-10-27,2.19,91,17
U000238,C000015,2026-02-23,1.61,195,13
U000239,C000835,2025-12-10,3.29,258,79
U000240,C000283,2026-07-12,1.07,176,29
U000241,C000411,2026-01-21,4.97,4,50
U000242,C000678,2026-04-20,2.83,298,53
U000243,C000628,2025-12-22,1.3,131,9
U000244,C000236,2025-10-31,0.37,150,75
U000245,C000328,2026-04-07,1.12,93,93
U000246,C000892,2026-07-01,1.04,9,58
U000247,C000151,2026-04-22,0.76,71,74
U000248,C000994,2026-07-20,2.43,134,17
U000249,C000735,2026-07-08,1.35,276,10
U000250,C000156,2026-01-25,3.26,251,30
U000251,C000481,2025-11-02,2.33,162,41
U000252,C000742,2026-05-24,1.66,218,56
U000253,C000295,2026-09-14,1.12,0,3
U000254,C000777,2026-05-16,2.02,141,67
U000255,C000482,2026-03-15,2.33,222,54
U000256,C000204,2025-10-01,3.11,73,68
U000257,C000621,2026-04-14,0.55,259,84
U000258,C000694,2026-07-27,1.08,258,90
U000259,C000670,2025-11-12,2.23,293,72
U000260,C000130,2025-10-20,4.34,262,86
U000261,C000296,2026-03-20,0.21,196,19
U000262,C000526,2026-04-06,4.23,253,73
U000263,C000955,2026-06-06,2.42,235,17
U000264,C000432,2026-06-27,4.79,137,85
U000265,C000508,2026-03-26,0.82,13,80
U000266,C000156,2026-03-11,2.25,20,72
U000267,C000843,2026-02-01,1.61,261,29
U000268,C000061,2026-06-25,2.64,286,63
U000269,C000851,2025-12-14,2.33,125,65
U000270,C000839,2025-10-30,4.05,12,76
U000271,C000939,2026-09-16,3.32,222,59
U000272,C000080,2025-10-17,1.05,131,45
U000273,C000278,2026-04-24,0.69,108,64
U000274,C000414,2025-09-26,4.51,24,27
U000275,C000415,2026-08-26,4.83,233,4
U000276,C000872,2026-04-21,2.64,155,2
U000277,C000050,2026-07-27,4.33,187,4
U000278,C000235,2026-03-08,3.91,260,40
U000279,C000639,2025-12-24,3.47,15,59
U000280,C000662,2026-03-04,1.08,36,76
U000281,C000496,2026-03-14,1.66,7,68
U000282,C000007,2026-05-08,2.38,113,98
U000283,C000655,2025-12-06,2.7,272,7
U000284,C000855,2026-06-02,4.3,121,48
U000285,C000918,2026-04-18,0.79,49,63
U000286,C000617,2025-10-10,3.14,190,95
U000287,C000186,2026-05-24,0.4,89,36
U000288,C000231,2025-10-16,4.38,216,9
U000289,C000100,2026-04-11,4.99,86,51
U000290,C000718,2026-01-20,2.5,230,7
U000291,C000344,2026-03-31,1.4,31,30
U000292,C000950,2026-05-12,0.41,297,54
U000293,C000115,2026-02-12,0.72,58,13
U000294,C000694,2026-06-05,2.28,144,38
U000295,C000996,2026-01-10,2.36,149,51
U000296,C000649,2026-04-16,0.1,0,66
U000297,C000865,2026-02-06,2.28,292,85
U000298,C000075,2026-06-22,0.4,263,72
U000299,C000538,2026-07-17,0.19,163,46
U000300,C000157,2026-09-22,0.88,26,48
U000301,C000213,2025-11-03,3.54,172,76
U000302,C000142,2026-05-18,1.56,39,19
U000303,C000350,2026-03-27,4.4,201,83
U000304,C000615,2026-08-10,1.37,180,72
U000305,C000309,2026-02-23,4.9,38,80
U000306,C000426,2026-04-10,3.63,191,9
U000307,C000369,2026-01-28,1.97,85,80
U000308,C000235,2025-10-20,4.77,127,53
U000309,C000857,2026-07-17,0.15,158,23
U000310,C000867,2026-03-17,2.36,110,45
U000311,C000566,2026-06-13,4.55,167,53
U000312,C000216,2026-06-21,2.68,268,92
U000313,C000938,2026-08-01,2.17,30,90
U000314,C000245,2025-11-29,4.58,221,51
U000315,C000708,2026-05-29,0.74,227,64
U000316,C000217,2025-11-12,2.33,167,71
U000317,C000193,2025-12-27,1.86,78,94
U000318,C000105,2026-07-30,2.15,188,58
U000319,C000471,2026-04-29,1.62,63,80
U000320,C000509,2026-01-22,0.75,181,9
U000321,C000523,2026-01-09,1.17,217,53
U000322,C000236,2026-05-09,0.61,231,42
U000323,C000963,2025-12-20,1.9,39,80
U000324,C000244,2026-01-19,3.08,163,60
U000325,C000742,2026-06-19,0.42,153,94
U000326,C000915,2025-10-01,3.96,2,31
U000327,C000407,2025-11-17,1.16,38,43
U000328,C000471,2026-04-05,3.06,118,83
U000329,C000956,2026-05-22,3.37,289,91
U000330,C000024,2026-05-04,3.27,197,90
U000331,C000662,2026-03-08,3.23,224,13
U000332,C000820,2026-08-22,4.96,134,51
U000333,C000622,2026-09-21,2.57,255,35
U000334,C000125,2026-07-10,0.59,227,34
U000335,C000489,2025-10-30,3.68,105,94
U000336,C000206,2025-10-17,3.52,199,100
U000337,C000798,2026-01-26,2.9,17,21
U000338,C000209,2026-03-28,1.57,249,41
U000339,C000604,2026-08-28,1.01,173,59
U000340,C000084,2025-12-10,1.27,193,99
U000341,C000037,2026-09-04,4.31,101,92
U000342,C000709,2026-08-21,0.98,159,76
U000343,C000044,2026-06-11,0.35,253,95
U000344,C000405,2026-01-29,3.44,224,92
U000345,C000220,2026-06-07,1.23,195,69
U000346,C000424,2026-02-01,3.94,114,16
U000347,C000412,2026-07-10,0.83,233,97
U000348,C000445,2026-07-15,3.27,93,87
U000349,C000420,2025-11-01,2.67,110,57
U000350,C000633,2026-07-02,0.29,81,17
U000351,C000327,2026-02-24,0.95,179,54
U000352,C000323,2026-08-19,3.31,297,92
U000353,C000003,2025-10-14,4.72,135,86
U000354,C000298,2026-01-01,0.67,141,30
U000355,C000166,2026-09-08,0.7,46,80
U000356,C000185,2026-05-16,1.99,256,20
U000357,C000624,2026-04-01,4.91,238,60
U000358,C000092,2026-08-20,2.14,219,34
U000359,C000673,2026-06-15,3.6,176,28
U000360,C000845,2026-01-22,4.23,162,6
U000361,C000596,2026-03-30,0.99,148,16
U000362,C000838,2026-06-21,0.48,51,51
U000363,C000701,2026-03-02,4.73,258,66
U000364,C000816,2026-02-03,4.26,258,76
U000365,C000864,2026-08-19,2.9,94,12
U000366,C000941,2026-08-12,3.75,34,24
U000367,C000970,2026-08-07,2.38,118,75
U000368,C000176,2026-06-30,4.9,7,39
U000369,C000644,2026-06-29,0.26,153,39
U000370,C000624,2026-08-18,1.09,236,44
U000371,C000650,2026-03-22,4.8,91,77
U000372,C000645,2025-11-21,0.71,135,32
U000373,C000046,2026-09-06,4.78,288,22
U000374,C000892,2026-07-31,3.42,262,81
U000375,C000862,2026-01-21,4.31,262,1
U000376,C000732,2026-02-11,4.21,73,33
U000377,C000164,2025-10-01,2.07,83,60
U000378,C000747,2026-09-18,0.7,69,58
U000379,C000185,2026-01-03,3.4,165,44
U000380,C000479,2025-11-22,1.84,152,34
U000381,C000264,2026-01-14,0.69,275,8
U000382,C000791,2026-04-19,4.97,191,14
U000383,C000838,2026-01-17,4.29,298,99
U000384,C000999,2026-01-09,0.52,72,30
U000385,C000981,2026-06-02,2.2,219,21
U000386,C000990,2026-03-12,3.73,243,64
U000387,C000054,2026-01-13,0.12,142,75
U000388,C000697,2026-07-18,0.56,191,32
U000389,C000752,2025-12-11,3.91,48,81
U000390,C000491,2026-05-29,4.41,104,82
U000391,C000616,2026-03-02,3.79,26,37
U000392,C000427,2026-09-03,1.54,40,36
U000393,C000060,2026-02-18,4.31,174,58
U000394,C000627,2026-04-10,4.96,126,76
U000395,C000560,2026-07-29,1.34,60,57
U000396,C000874,2025-12-02,4.09,8,49
U000397,C000867,2026-02-16,1.45,213,100
U000398,C000090,2026-03-04,0.38,32,51
U000399,C000576,2026-08-16,1.29,118,2
U000400,C000473,2025-09-30,1.76,39,95
U000401,C000071,2026-09-07,2.99,203,61
U000402,C000389,2025-11-21,1.81,167,50
U000403,C000128,2025-11-28,1.62,95,66
U000404,C000725,2025-10-16,4.03,113,86
U000405,C000345,2026-01-30,3.08,265,63
U000406,C000636,2026-08-21,2.0,59,39
U000407,C000088,2026-08-27,1.82,278,79
U000408,C000008,2026-07-18,2.0,26,33
U000409,C000073,2025-10-04,1.68,120,67
U000410,C000492,2026-07-07,0.22,166,21
U000411,C000216,2026-03-28,4.71,102,16
U000412,C000153,2026-01-27,0.87,35,27
U000413,C000915,2026-07-12,0.98,135,61
U000414,C000565,2026-03-15,1.74,267,77
U000415,C000836,2025-10-11,2.95,240,84
U000416,C000285,2026-02-10,1.8,146,73
U000417,C000278,2025-12-08,1.11,240,48
U000418,C000926,2026-08-06,3.95,153,52
U000419,C000401,2026-08-10,2.18,44,36
U000420,C000597,2026-03-03,3.21,251,31
U000421,C000130,2025-12-24,4.58,77,44
U000422,C000058,2026-01-28,0.96,56,33
U000423,C000303,2025-11-03,3.76,178,6
U000424,C000113,2025-09-30,3.39,233,94
U000425,C000703,2026-05-27,2.38,232,61
U000426,C000731,2026-02-24,2.88,8,57
U000427,C000970,2026-03-13,0.92,62,70
U000428,C000030,2026-02-25,3.57,44,6
U000429,C000587,2026-05-12,2.52,152,46
U000430,C000925,2025-10-26,2.16,61,73
U000431,C000275,2026-09-06,2.2,260,99
U000432,C000167,2026-05-08,1.28,112,12
U000433,C000475,2025-11-29,0.74,245,35
U000434,C000944,2026-09-14,3.71,3,35
U000435,C000389,2025-11-07,3.64,86,79
U000436,C000658,2026-07-03,3.63,23,2
U000437,C000410,2026-01-25,4.89,79,64
U000438,C000381,2025-12-26,0.32,11,23
U000439,C000914,2026-09-09,2.1,111,43
U000440,C000934,2026-03-21,1.88,149,90
U000441,C000153,2025-11-06,3.7,269,57
U000442,C000986,2026-09-13,1.14,110,15
U000443,C000948,2026-01-11,2.9,11,18
U000444,C000683,2025-09-30,0.63,120,91
U000445,C000004,2026-07-21,1.06,138,18
U000446,C000559,2026-09-17,2.12,16,29
U000447,C000267,2026-07-06,0.95,142,4
U000448,C000216,2025-11-28,4.79,277,99
U000449,C000015,2026-05-13,0.77,71,94
U000450,C000290,2026-04-17,1.14,93,11
U000451,C000019,2026-07-23,4.46,232,37
U000452,C000156,2025-11-27,1.83,26,52
U000453,C000847,2026-04-24,4.23,132,97
U000454,C000755,2026-07-30,2.45,252,63
U000455,C000105,2026-09-02,0.28,47,47
U000456,C000027,2026-09-05,2.68,133,44
U000457,C000714,2026-09-13,2.25,218,75
U000458,C000126,2025-12-02,3.68,248,35
U000459,C000321,2025-10-19,4.18,100,37
U000460,C000819,2026-01-19,0.52,155,11
U000461,C000509,2026-05-23,3.8,154,33
U000462,C000193,2025-12-04,4.33,202,58
U000463,C000219,2026-02-18,2.92,226,73
U000464,C000472,2026-03-02,3.74,214,50
U000465,C000358,2025-10-16,1.51,185,3
U000466,C000373,2025-12-24,2.49,270,1
U000467,C000450,2026-01-07,4.98,207,77
U000468,C000225,2026-06-06,0.21,2,96
U000469,C000734,2026-08-17,2.0,193,63
U000470,C000007,2026-08-22,0.18,137,36
U000471,C000376,2026-05-03,2.6,275,63
U000472,C000405,2026-08-31,0.83,77,89
U000473,C000893,2026-09-09,4.66,277,38
U000474,C000149,2025-12-04,3.53,162,90
U000475,C000992,2025-11-03,1.62,264,82
U000476,C000432,2026-08-24,3.97,10,97
U000477,C000482,2026-08-04,2.42,22,35
U000478,C000106,2026-05-08,0.14,27,75
U000479,C000765,2026-06-27,4.36,290,99
U000480,C000991,2026-05-13,2.02,213,82
U000481,C000476,2025-12-02,3.3,288,31
U000482,C000353,2026-08-04,2.22,28,39
U000483,C000703,2026-04-11,3.52,138,100
U000484,C000303,2026-07-25,1.72,188,14
U000485,C000813,2025-10-06,1.29,214,77
U000486,C000857,2025-11-08,4.78,191,36
U000487,C000303,2026-09-06,1.79,288,20
U000488,C000313,2026-02-06,3.64,215,16
U000489,C000401,2025-12-26,2.25,294,29
U000490,C000350,2026-01-19,3.82,40,56
U000491,C000316,2025-10-26,4.99,152,92
U000492,C000842,2026-09-02,1.21,269,57
U000493,C000765,2026-04-01,2.85,9,28
U000494,C000890,2025-10-23,1.75,259,45
U000495,C000785,2026-09-05,3.1,201,57
U000496,C000004,2026-03-08,1.14,296,58
U000497,C000058,2026-05-07,0.44,133,84
U000498,C000397,2026-01-09,0.99,145,84
U000499,C000760,2025-11-19,1.57,66,61
U000500,C000243,2026-08-24,1.37,271,42
U000501,C000189,2025-11-18,2.33,130,1
U000502,C000882,2026-09-16,1.58,141,38
U000503,C000563,2025-12-08,1.22,123,51
U000504,C000272,2026-09-12,0.53,28,39
U000505,C000201,2026-07-19,0.93,266,53
U000506,C000699,2025-09-30,3.68,287,3
U000507,C000010,2026-03-02,2.33,227,42
U000508,C000865,2025-10-20,0.25,226,71
U000509,C000877,2025-10-26,4.94,97,46
U000510,C000674,2026-04-13,0.21,299,9
U000511,C000646,2025-12-02,1.17,238,84
U000512,C000804,2025-11-25,3.35,101,53
U000513,C000008,2026-02-09,1.97,84,76
U000514,C000598,2025-12-10,0.22,156,19
U000515,C000789,2025-09-27,0.25,218,24
U000516,C000176,2026-04-24,0.84,16,28
U000517,C000125,2026-09-14,1.33,96,1
U000518,C000349,2025-11-19,4.57,197,73
U000519,C000631,2026-05-21,1.07,205,76
U000520,C000865,2026-01-01,0.67,299,83
U000521,C000221,2026-06-19,3.38,52,23
U000522,C000939,2025-10-12,1.67,249,60
U000523,C000491,2025-12-14,2.18,120,71
U000524,C000920,2026-09-18,4.67,108,85
U000525,C000805,2026-03-14,0.24,14,62
U000526,C000089,2025-12-25,2.9,185,33
U000527,C000361,2025-10-31,2.36,6,58
U000528,C000848,2026-01-01,1.4,148,82
U000529,C000037,2025-12-03,3.63,210,58
U000530,C000183,2026-03-04,3.57,115,23
U000531,C000013,2026-06-20,2.27,225,37
U000532,C000806,2026-09-06,4.64,289,11
U000533,C000777,2026-05-30,2.04,33,97
U000534,C000845,2025-11-19,3.72,40,9
U000535,C000106,2026-01-20,2.83,26,65
U000536,C000465,2025-11-15,3.66,186,80
U000537,C000633,2026-04-12,3.93,125,45
U000538,C000695,2025-10-21,1.68,267,44
U000539,C000994,2026-06-10,4.74,96,23
U000540,C000004,2025-11-10,3.76,109,24
U000541,C000757,2026-02-03,4.7,226,83
U000542,C000598,2026-03-17,0.36,242,1
U000543,C000639,2026-04-06,0.29,206,19
U000544,C000696,2026-07-13,0.11,224,84
U000545,C000684,2026-09-11,3.89,112,96
U000546,C000353,2026-05-20,4.87,2,93
U000547,C000267,2026-03-03,2.9,255,74
U000548,C000382,2026-03-10,3.1,251,19
U000549,C000609,2026-07-03,3.29,23,79
U000550,C000407,2026-09-07,2.52,205,89
U000551,C000624,2025-09-25,0.66,299,10
U000552,C000360,2026-07-08,3.45,155,52
U000553,C000495,2025-11-12,2.38,93,62
U000554,C000416,2026-04-02,0.82,253,25
U000555,C000415,2026-02-12,3.72,196,95
U000556,C000073,2025-11-30,4.12,193,85
U000557,C000944,2026-02-02,0.32,73,63
U000558,C000215,2025-11-26,4.61,43,92
U000559,C000630,2026-03-03,0.4,284,33
U000560,C000047,2025-10-10,2.11,219,70
U000561,C000268,2025-09-24,2.76,278,5
U000562,C000511,2026-03-24,0.55,209,97
U000563,C000669,2026-03-27,1.86,133,66
U000564,C000197,2026-09-11,3.89,222,18
U000565,C000117,2026-03-30,4.74,155,73
U000566,C000299,2026-07-15,2.86,36,51
U000567,C000552,2026-03-20,1.3,73,61
U000568,C000862,2026-02-04,3.18,200,89
U000569,C000864,2026-04-19,0.88,9,98
U000570,C000055,2026-08-22,4.01,248,45
U000571,C000785,2026-06-15,0.14,29,7
U000572,C000490,2026-09-02,1.06,144,2
U000573,C000425,2026-02-15,2.13,144,16
U000574,C000045,2026-05-21,4.31,239,28
U000575,C000357,2026-02-06,2.8,259,37
U000576,C000453,2026-09-22,1.23,77,88
U000577,C000208,2025-10-10,3.82,75,41
U000578,C000547,2026-04-15,4.15,236,3
U000579,C000890,2026-08-25,0.85,194,91
U000580,C000672,2026-01-15,4.03,298,88
U000581,C000678,2026-01-07,4.79,260,33
U000582,C000007,2025-10-23,4.8,284,73
U000583,C000088,2026-09-09,0.56,215,46
U000584,C000944,2026-03-29,0.4,0,27
U000585,C000383,2025-10-19,3.65,106,54
U000586,C000269,2026-02-21,0.61,169,86
U000587,C000970,2026-08-06,1.78,22,20
U000588,C000538,2026-04-04,1.89,29,1
U000589,C000856,2025-09-26,4.35,232,87
U000590,C000555,2025-10-18,3.8,209,26
U000591,C000869,2026-06-10,0.42,166,11
U000592,C000051,2026-08-29,4.74,244,57
U000593,C000506,2026-03-25,4.84,55,66
U000594,C000019,2025-11-20,4.94,274,28
U000595,C000726,2026-05-23,0.65,273,58
U000596,C000293,2026-07-01,4.49,274,29
U000597,C000719,2025-09-26,0.67,142,88
U000598,C000039,2025-12-15,1.11,118,28
U000599,C000249,2026-08-19,1.3,171,43
U000600,C000179,2025-12-24,3.37,28,98
U000601,C000158,2026-07-19,3.94,125,12
U000602,C000367,2025-12-17,4.63,203,32
U000603,C000665,2025-11-01,3.76,153,6
U000604,C000594,2026-04-03,2.42,72,5
U000605,C000845,2025-12-18,4.01,159,49
